createTime,responseId,promptTokenCount,candidateTokenCount,totalTokenCount,model_ver
2024-03-01T10:00:00Z,resp_001,500,200,700,gpt-4
2024-03-01T10:05:00Z,resp_002,800,300,1100,gpt-4
2024-03-01T10:10:00Z,resp_003,1200,400,1600,gpt-3.5
2024-03-01T10:15:00Z,resp_004,600,250,850,gpt-4
2024-03-01T10:20:00Z,resp_005,1500,700,2200,gpt-3.5
2024-03-01T10:25:00Z,resp_006,900,350,1250,gpt-4
2024-03-01T10:30:00Z,resp_007,1100,450,1550,gpt-3.5
2024-03-01T10:35:00Z,resp_008,700,300,1000,gpt-4
2024-03-01T10:40:00Z,resp_009,500,150,650,gpt-3.5
2024-03-01T10:45:00Z,resp_010,1300,500,1800,gpt-4
